Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes
Salinivibrio sp. S34		1	1565				FN994183			Salinivibrio sp. S34				3570	Argentina	Salta	Socompa	
Salinivibrio sp. S35		1	1565				HF953987			Salinivibrio sp. S35				3570	Argentina	Salta	Socompa	
Salinivibrio sp. S10B		1	1565				FR668583			Salinivibrio sp. S10B				3570	Argentina	Salta	Socompa	
Salinivibrio costicola subsp. alcaliphilus 18AGT (AJ640132)		1	1565				AJ640132			Salinivibrio costicola subsp. alcaliphilus 18AGT								
Salinivibrio costicola subsp. costicola  ATCC 35508T (X74699)		1	1565				X74699			Salinivibrio costicola subsp. costicola  ATCC 35508T 								
Salinivibrio vallismortis DSM8285T (AF057016)		1	1565				AF057016			Salinivibrio vallismortis DSM8285T 								
Salinivibrio proteolyticus AF-2004T (DQ092443)		1	1565				DQ092443			Salinivibrio proteolyticus AF-2004T								
Salinivibrio aegyptiaca subsp. sharmensis		1	1565				AM279734			Salinivibrio aegyptiaca subsp. sharmensis								
Salinivibrio siamensis ND1-1T (AB285018)		1	1565				AB285018			Salinivibrio siamensis ND1-1T								
Vibrio comitans GHG2-1T (DQ922915)		1	1565				DQ922915			Vibrio comitans GHG2-1T								
