Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes	
Acystopteris tenuisecta		1	1980							Acystopteris tenuisecta								
Amauropelta amambayensis		1	1980							Amauropelta amambayensis								
Amauropelta bergiana		1	1980							Amauropelta bergiana								
Amauropelta burkartii		1	1980							Amauropelta burkartii								
Amauropelta cheilanthoides		1	1980							Amauropelta cheilanthoides								
Amauropelta decurtata		1	1980							Amauropelta decurtata								
Amauropelta eriosora		1	1980							Amauropelta eriosora								
Amauropelta globilufera		1	1980							Amauropelta globilufera								
Amauropelta heteroptera		1	1980							Amauropelta heteroptera								
Amauropelta juergensii		1	1980							Amauropelta juergensii								
Amauropelta oligocarpa		1	1980							Amauropelta oligocarpa								
Amauropelta oppositiformis		1	1980							Amauropelta oppositiformis								
Amauropelta pachyrhachis		1	1980							Amauropelta pachyrhachis								
Amauropelta patula		1	1980							Amauropelta patula								
Amauropelta ptarmica		1	1980							Amauropelta ptarmica								
Amauropelta raddii		1	1980							Amauropelta raddii								
Amauropelta regnelliana		1	1980							Amauropelta regnelliana								
Amauropelta retusa		1	1980							Amauropelta retusa								
Amauropelta rivularioides		1	1980							Amauropelta rivularioides								
Amauropelta salazica		1	1980							Amauropelta salazica								
Amauropelta saxicola		1	1980							Amauropelta saxicola								
Amauropelta tomentosa		1	1980							Amauropelta tomentosa								
Ampelopteris prolifera		1	1980							Ampelopteris prolifera								
Amphineuron opulentum		1	1980							Amphineuron opulentum								
Amphineuron terminans		1	1980							Amphineuron terminans								
Chingia longissima		1	1980							Chingia longissima								
Christella arida 		1	1980							Christella arida 								
Christella augescens		1	1980							Christella augescens								
Christella calvescens		1	1980							Christella calvescens								
Christella conspersa		1	1980							Christella conspersa								
Christella crinipes		1	1980							Christella crinipes								
Christella dentata		1	1980							Christella dentata								
Christella hispidula		1	1980							Christella hispidula								
