Row Taxon Label	Title	Start Index	End Index	Inst. Acronym	Collection Code	Catalog Number	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Elevation	Country	State	Locality	Notes	
Clausilia Strobeliella brembina brembina 1792		1	1238							Clausilia Strobeliella brembina brembina 1792								
Clausilia Strobeliella brembina brembina 1793		1	1238							Clausilia Strobeliella brembina brembina 1793								
Clausilia Strobeliella brembina brembina 1794		1	1238							Clausilia Strobeliella brembina brembina 1794								
Clausilia Strobeliella brembina brembina 1795		1	1238							Clausilia Strobeliella brembina brembina 1795								
Clausilia Strobeliella brembina klemmi 1796		1	1238							Clausilia Strobeliella brembina klemmi 1796								
Clausilia Strobeliella brembina klemmi 1798		1	1238							Clausilia Strobeliella brembina klemmi 1798								
Clausilia Strobeliella whateliana exoptata1799		1	1238							Clausilia Strobeliella whateliana exoptata1799								
1Clausilia Strobeliella whateliana exoptata800		1	1238							1Clausilia Strobeliella whateliana exoptata800								
Clausilia Strobeliella umbrosa umbrosa 1803		1	1238							Clausilia Strobeliella umbrosa umbrosa 1803								
Clausilia Strobeliella umbrosa umbrosa  1804		1	1238							Clausilia Strobeliella umbrosa umbrosa  1804								
Clausilia Strobeliella whateliana whateliana 1805		1	1238							Clausilia Strobeliella whateliana whateliana 1805								
Clausilia Strobeliella whateliana whateliana 1806		1	1238							Clausilia Strobeliella whateliana whateliana 1806								
Clausilia Strobeliella whateliana whateliana 1807		1	1238							Clausilia Strobeliella whateliana whateliana 1807								
Clausilia Strobeliella whateliana whateliana 1808		1	1238							Clausilia Strobeliella whateliana whateliana 1808								
Clausilia Strobeliella whateliana whateliana 1809		1	1238							Clausilia Strobeliella whateliana whateliana 1809								
Clausilia Strobeliella whateliana whateliana 1810		1	1238							Clausilia Strobeliella whateliana whateliana 1810								
Clausilia Strobeliella brembina brembina 1811		1	1238							Clausilia Strobeliella brembina brembina 1811								
Clausilia Strobeliella brembina brembina 1812		1	1238							Clausilia Strobeliella brembina brembina 1812								
Clausilia Strobeliella brembina brembina 1813		1	1238							Clausilia Strobeliella brembina brembina 1813								
Clausilia Strobeliella brembina brembina 1829		1	1238							Clausilia Strobeliella brembina brembina 1829								
Clausilia Strobeliella brembina brembina 1830		1	1238							Clausilia Strobeliella brembina brembina 1830								
Clausilia Strobeliella whateliana whateliana 1831		1	1238							Clausilia Strobeliella whateliana whateliana 1831								
Clausilia Strobeliella whateliana whateliana 1832		1	1238							Clausilia Strobeliella whateliana whateliana 1832								
Clausilia Strobeliella whateliana exoptata1833		1	1238							Clausilia Strobeliella whateliana exoptata1833								
Clausilia Strobeliella whateliana exoptata1834		1	1238							Clausilia Strobeliella whateliana exoptata1834								
Clausilia Strobeliella whateliana exoptata1835		1	1238							Clausilia Strobeliella whateliana exoptata1835								
Clausilia Strobeliella whateliana exoptata 1836		1	1238							Clausilia Strobeliella whateliana exoptata 1836								
Clausilia Strobeliella whateliana exoptata 1837		1	1238							Clausilia Strobeliella whateliana exoptata 1837								
Clausilia Strobeliella brembina brembina 1838		1	1238							Clausilia Strobeliella brembina brembina 1838								
Clausilia Strobeliella brembina brembina 1839		1	1238							Clausilia Strobeliella brembina brembina 1839								
Clausilia Strobeliella brembina brembina 1840		1	1238							Clausilia Strobeliella brembina brembina 1840								
Clausilia Strobeliella brembina brembina 1841		1	1238							Clausilia Strobeliella brembina brembina 1841								
Clausilia Strobeliella brembina brembina 1842		1	1238							Clausilia Strobeliella brembina brembina 1842								
Clausilia Strobeliella whateliana whateliana 1843		1	1238							Clausilia Strobeliella whateliana whateliana 1843								
Clausilia Strobeliella whateliana whateliana 1844		1	1238							Clausilia Strobeliella whateliana whateliana 1844								
1Clausilia Strobeliella whateliana whateliana 845		1	1238							1Clausilia Strobeliella whateliana whateliana 845								
Clausilia Strobeliella whateliana whateliana 1846		1	1238							Clausilia Strobeliella whateliana whateliana 1846								
Clausilia Strobeliella whateliana whateliana 1847		1	1238							Clausilia Strobeliella whateliana whateliana 1847								
Clausilia Strobeliella brembina klemmi 1848		1	1238							Clausilia Strobeliella brembina klemmi 1848								
Clausilia Strobeliella brembina klemmi 1849		1	1238							Clausilia Strobeliella brembina klemmi 1849								
Clausilia Strobeliella brembina klemmi 1850		1	1238							Clausilia Strobeliella brembina klemmi 1850								
Clausilia Strobeliella brembina brembina 1851		1	1238							Clausilia Strobeliella brembina brembina 1851								
1Clausilia Strobeliella brembina brembina 852		1	1238							1Clausilia Strobeliella brembina brembina 852								
Clausilia Strobeliella whateliana exoptata 1854		1	1238							Clausilia Strobeliella whateliana exoptata 1854								
Clausilia Strobeliella whateliana exoptata 1855		1	1238							Clausilia Strobeliella whateliana exoptata 1855								
Clausilia Strobeliella brembina brembina 1856		1	1238							Clausilia Strobeliella brembina brembina 1856								
Clausilia Strobeliella brembina brembina 1857		1	1238							Clausilia Strobeliella brembina brembina 1857								
Clausilia Strobeliella whateliana whateliana 1860		1	1238							Clausilia Strobeliella whateliana whateliana 1860								
Clausilia Strobeliella whateliana whateliana 1861		1	1238							Clausilia Strobeliella whateliana whateliana 1861								
Clausilia Strobeliella whateliana whateliana 1862		1	1238							Clausilia Strobeliella whateliana whateliana 1862								
Clausilia Strobeliella whateliana whateliana 1863		1	1238							Clausilia Strobeliella whateliana whateliana 1863								
Clausilia Strobeliella whateliana whateliana 1864		1	1238							Clausilia Strobeliella whateliana whateliana 1864								
Clausilia Strobeliella whateliana whateliana 1865		1	1238							Clausilia Strobeliella whateliana whateliana 1865								
Clausilia Strobeliella brembina klemmi 1869		1	1238							Clausilia Strobeliella brembina klemmi 1869								
Clausilia Strobeliella brembina klemmi 1870		1	1238							Clausilia Strobeliella brembina klemmi 1870								
Clausilia Strobeliella brembina klemmi 1871		1	1238							Clausilia Strobeliella brembina klemmi 1871								
Clausilia Strobeliella whateliana exoptata 1873		1	1238							Clausilia Strobeliella whateliana exoptata 1873								
Clausilia Strobeliella whateliana whateliana 1874		1	1238							Clausilia Strobeliella whateliana whateliana 1874								
Clausilia Strobeliella whateliana whateliana 1875		1	1238							Clausilia Strobeliella whateliana whateliana 1875								
Clausilia Strobeliella whateliana whateliana 1877		1	1238							Clausilia Strobeliella whateliana whateliana 1877								
Clausilia Strobeliella whateliana whateliana 1878		1	1238							Clausilia Strobeliella whateliana whateliana 1878								
Clausilia Strobeliella whateliana whateliana 1879		1	1238							Clausilia Strobeliella whateliana whateliana 1879								
Clausilia Strobeliella brembina alanica 1880		1	1238							Clausilia Strobeliella brembina alanica 1880								
Clausilia Strobeliella umbrosa umbrosa  1881		1	1238							Clausilia Strobeliella umbrosa umbrosa  1881								
Clausilia Strobeliella brembina alanica 1882		1	1238							Clausilia Strobeliella brembina alanica 1882								
Clausilia Strobeliella brembina alanica 1883		1	1238							Clausilia Strobeliella brembina alanica 1883								
Clausilia Strobeliella brembina alanica 1884		1	1238							Clausilia Strobeliella brembina alanica 1884								
Clausilia Strobeliella umbrosa umbrosa  1885		1	1238							Clausilia Strobeliella umbrosa umbrosa  1885								
Clausilia Strobeliella brembina alanica 1886		1	1238							Clausilia Strobeliella brembina alanica 1886								
Clausilia Strobeliella umbrosa umbrosa  1887		1	1238							Clausilia Strobeliella umbrosa umbrosa  1887								
Clausilia Strobeliella umbrosa umbrosa  1889		1	1238							Clausilia Strobeliella umbrosa umbrosa  1889								
Clausilia Strobeliella umbrosa umbrosa  1890		1	1238							Clausilia Strobeliella umbrosa umbrosa  1890								
Clausilia Strobeliella whateliana whateliana 1891		1	1238							Clausilia Strobeliella whateliana whateliana 1891								
Clausilia Strobeliella whateliana whateliana 1892		1	1238							Clausilia Strobeliella whateliana whateliana 1892								
Clausilia Strobeliella umbrosa gardonensis 2144		1	1238							Clausilia Strobeliella umbrosa gardonensis 2144								
Clausilia Strobeliella umbrosa gardonensis 2145		1	1238							Clausilia Strobeliella umbrosa gardonensis 2145								
Clausilia Strobeliella umbrosa gardonensis 2146		1	1238							Clausilia Strobeliella umbrosa gardonensis 2146								
Neostyriaca corynodes corynodes 1876		1	1238							Neostyriaca corynodes corynodes 1876								
Clausilia Clausilia cruciata 1802		1	1238							Clausilia Clausilia cruciata 1802								
Clausilia dubia gracilior 1867		1	1238							Clausilia dubia gracilior 1867								
Neostyriaca strobeli 1853		1	1238							Neostyriaca strobeli 1853								
Neostyriaca strobeli 1858		1	1238							Neostyriaca strobeli 1858								
Neostyriaca corynodes styriaca 1866		1	1238							Neostyriaca corynodes styriaca 1866								
Neostyriaca corynodes brandti 1868		1	1238							Neostyriaca corynodes brandti 1868								
