Row Taxon Label	Title	Start Index	End Index	GenBank Accession	Other Accession Num	Sample Date	Sample Taxon Label	Collector	Latitude	Longitude	Country	State	Locality	Notes
Chlorellaceae sp WJT36VFNP23 JX446472		1	1839	JX446472	WJT36VFNP23		Chlorellaceae sp. WJT36VFNP23							
Micractinium sp WJT9VFNP19 JX446469		1	1839	JX446469	WJT9VFNP19		Micractinium sp. WJT9VFNP19							
Chlorellaceae sp WJT36VFNP9 JX446471		1	1839	JX446471	WJT36VFNP9		Chlorellaceae sp. WJT36VFNP9							
Chlorellaceae sp WJT4VFNP1 JX446464		1	1839	JX446464	WJT4VFNP1		Chlorellaceae sp. WJT4VFNP1							
Chlorellaceae sp WJT4VFNP5 JX446465		1	1839	JX446465	WJT4VFNP5		Chlorellaceae sp. WJT4VFNP5							
Chlorellaceae sp WJT66VFNP53 JX446473		1	1839	JX446473	WJT66VFNP53		Chlorellaceae sp. WJT66VFNP53							
Chlorellaceae sp WJT66VFNP79 JX446474		1	1839	JX446474	WJT66VFNP79		Chlorellaceae sp. WJT66VFNP79							
Myrmecia sp WJT36VFNP19 JX446480		1	1839	JX446480	WJT36VFNP19		Myrmecia sp. WJT36VFNP19							
Myrmecia sp WJT61VFNP15 JX446482		1	1839	JX446482	WJT61VFNP15		Myrmecia sp. WJT61VFNP15							
Micractinium sp WJT8VFNP18 JX446467		1	1839	JX446467	WJT8VFNP18		Micractinium sp. WJT8VFNP18							
Chlorellaceae sp WJT36VFNP3 JX446470		1	1839	JX446470	WJT36VFNP3		Chlorellaceae sp. WJT36VFNP3							
Trebouxiophyceae sp WJT24VFNP38 JX446488		1	1839	JX446488	WJT24VFNP38		Trebouxiophyceae sp. WJT24VFNP38							
Parietochloris sp WJT66VFNP21 JX446476		1	1839	JX446476	WJT66VFNP21		Parietochloris sp. WJT66VFNP21							
Parietochloris sp WJT71VFNP8 JX446477		1	1839	JX446477	WJT71VFNP8		Parietochloris sp. WJT71VFNP8							
Parietochloris sp WJT8VFNP40 JX446475		1	1839	JX446475	WJT8VFNP40		Parietochloris sp. WJT8VFNP40							
Stichococcus sp WJT24VFNP30 JX446483		1	1839	JX446483	WJT24VFNP30		Stichococcus sp. WJT24VFNP30							
Trebouxiophyceae sp WJT71VFNP21 JX446489		1	1839	JX446489	WJT71VFNP21		Trebouxiophyceae sp. WJT71VFNP21							
Trebouxiophyceae sp WJT2VFNP25 JX446485		1	1839	JX446485	WJT2VFNP25		Trebouxiophyceae sp. WJT2VFNP25							
Trebouxiophyceae sp WJT71VFNP22 JX446487		1	1839	JX446487	WJT71VFNP22		Trebouxiophyceae sp. WJT71VFNP22							
Dictyosphaerium minutum CCAP222 3 FR865691		1	1839	FR865691	CCAP 222/3		Dictyosphaerium minutum				Antarctica	South Orkney Islands	Signy Island	
Dictyosphaerium ehrenbergianum CCAP222 1A GQ176854		1	1839	GQ176854	CCAP 222/1A		Dictyosphaerium ehrenbergianum							
Chlorella vulgaris X13688		1	1839	X13688	SAG 211-11b		Chlorella vulgaris							
Chlorella sorokiniana FM205860		1	1839	FM205860	CCALA 260		Chlorella sorokiniana							
Coccomyxa pringsheimii AY762603		1	1839	AY762603	SAG 69.80		Coccomyxa pringsheimii							
Coccomyxa sp CPCC 508 AM981206		1	1839	AM981206	CPCC 508 = UTCC 508		Coccomyxa sp. CPCC 508							
Choricystis chodatii FJ648512		1	1839	FJ648512	SAG 216-2		Choricystis chodatii							
Eremosphaera viridis AF387154		1	1839	AF387154	UTEX LB 34		Eremosphaera viridis							
Fusochloris perforatum M62999		1	1839	M62999			Characium perforatum							
Friedmannia israeliensis M62995		1	1839	M62995			Friedmannia israeliensis							
Makinoella tosaensis AF228691		1	1839	AF228691	SAG B28.97		Makinoella tosaensis							
Micractinium reisseri AB506071		1	1839	AB506071	CCAP 221/83		Micractinium reisseri				Germany		Goettingen	
Micractinium pusillum AM231740		1	1839	AM231740	CCAP 248/7		Micractinium pusillum				Germany			
Muriella terrestris AB012845		1	1839	AB012845	ASIB V38		Muriella terrestris							
Myrmecia biatorellae Z28971		1	1839	Z28971	photobiont of the lichen Dermatocarpon tuckermani; UTEX 907		Myrmecia biatorellae							
Myrmecia bisecta Z47209		1	1839	Z47209	IB T74		Myrmecia bisecta							
Lobosphaera sp HQ902935		1	1839	HQ902935	CCAP 221/8		Myrmecia irregularis							
Lobosphaera incisa AY762602		1	1839	AY762602	SAG 2007		Lobosphaera incisa							
Myrmecia sp BC8 8 AF516674		1	1839	AF516674	BC8-8		Myrmecia sp. BC8-8							
Myrmecia sp H1VF1 AF513369		1	1839	AF513369	H1VF1		Myrmecia sp. H1VF1							
Oocystis heteromucosa AF228689		1	1839	AF228689	SAG 1.99		Oocystis heteromucosa							
Oocystis solitaria AF228686		1	1839	AF228686	SAG 83.80		Oocystis solitaria							
Parachlorella beijerinckii AY323841		1	1839	AY323841	SAG 2046		Parachlorella beijerinckii							
Paradoxia multiseta AY422078		1	1839	AY422078	UTEX LB 2460		Paradoxia multiseta							
Parietochloris alveolaris EU878373		1	1839	EU878373	UTEX 836		Parietochloris alveolaris							
Parietochloris pseudoalveolaris M63002		1	1839	M63002			Ettlia pseudoalveolaris							
Parietochloris ovoidea EU878374		1	1839	EU878374	ACKU 177-03		Parietochloris ovoidea							
Parietochloris cohaerens EU878372		1	1839	EU878372	UTEX 1707		Parietochloris cohaerens							
Prasiola crispa AJ416106		1	1839	AJ416106	SAG 43.96		Prasiola crispa				Germany	Bavaria	Pullach	
Tetrachlorella alternans AF228687		1	1839	AF228687	SAG B42.81		Tetrachlorella alternans							
Trebouxia asymmetrica Z21553		1	1839	Z21553	photobiont of the lichen Diploschistes diacapsis; SAG 48.88		Trebouxia asymmetrica							
Trebouxia impressa Z21551		1	1839	Z21551	photobiont of the lichen Physcia stellaris; UTEX 892		Trebouxia impressa							
Dunaliellaceae sp EF023670		1	1839	EF023670			uncultured Dunaliellaceae							
Stichococcus bacillaris AB055864		1	1839	AB055864	CCAP379/7		Stichococcus bacillaris							
Stichococcus chlorelloides AY271675		1	1839	AY271675	BCP-CNP2VF11B		Stichococcus chlorelloides							
Stichococcus sp BCPSRS2 14 AY377441		1	1839	AY377441	BCP-SRS2-14		Stichococcus sp. BCP-SRS2-14							
Chlorella sp UTEX 318 EF159951		1	1839	EF159951	UTEX 318		Chlorella sp. UTEX 318							
Meyerella planktonica AY543039		1	1839	AY543039	Itas 2/24 S-11w		Meyerella planktonica				USA	Minnesota	Lake Itasca	
Chloropyrula uraliensis JX070625		1	1839	JX070625			Chloropyrula uraliensis							
Viridiella fridericiana AJ439401		1	1839	AJ439401	237		Viridiella fridericiana							
Dictyochloropsis splendida GU017665		1	1839	GU017665	UTEX 2599	1995	Dictyochloropsis splendida	E. Tschermak-Woess			USA			
Watanabea reniformis FM958480		1	1839	FM958480	SAG 211-9b		Watanabea reniformis							
Watanabea sp MSC 1 EU090195		1	1839	EU090195	MSC 1		Watanabea sp. MSC 1							
Phyllosiphon arisari JF304470		1	1839	JF304470	PY7a1		Phyllosiphon arisari							
Kalinella bambusicola EU346910		1	1839	EU346910	CAUP H 7901		Kalinella bambusicola							
Heterochlorella luteoviridis X73998		1	1839	X73998	SAG 211-2a		Heterochlorella luteoviridis							
Heterochlorella luteoviridis AB006045		1	1839	AB006045	MES A5-4		Heterochlorella luteoviridis							
Chlorella sp MBIC10057 AB058305		1	1839	AB058305										
Heveochlorella hainangensis EF595524		1	1839	EF595524	FGG01		Heveochlorella hainangensis							
Heveochlorella roystonensis JN003601		1	1839	JN003601	ITBB A3-8		Heveochlorella roystonensis							
uncultured Chlorella AM260450		1	1839	AM260450	L-1016		uncultured Chlorella				Mexico			
Chloroidium angustoellipsoideum FM946019		1	1839	FM946019	SAG 2115	SAG 2115	Chloroidium angustoellipsoideum							
Chloroidium ellipsoideum FM946012		1	1839	FM946012	SAG 3.95	SAG 3.95	Chloroidium ellipsoideum							
Chloroidium engadinense FM946011		1	1839	FM946011	SAG 812-1	SAG 812-1	Chloroidium engadinense							
Chloroidium saccharophilum FM946000		1	1839	FM946000	SAG 211-9a	SAG 211-9a	Chloroidium saccharophilum							
Parachloroidium lobatum HF586460		1	1839	HF586460	CAUP H8502	CAUP H8502	Parachloroidium lobatum		45.526	13.5947	Slovenia	Pacug		
Parachloroidium lobatum HF586461		1	1839	HF586461	CAUP H8503	CAUP H8503	Parachloroidium lobatum		40.1766	16.6971	Italy	Policoro		
Parachloroidium laureanum HF586459		1	1839	HF586459	CAUP H8501	CAUP H8501	Parachloroidium laureanum		45.5866	13.7098	Slovenia	Ankaran		
Microthamnion kuetzingianum Z28974		1	1839	Z28974	UTEX 1914		Microthamnion kuetzingianum							
Apatococcus lobatus FR693368		1	1839	FR693368	ROS 7/3	Nov-01	Apatococcus lobatus	Norbert Haeubner			Germany	Rostock		
Leptosira terrestris Z28973		1	1839	Z28973	SAG 463-3		Leptosira terrestris							
Pleurastrum erumpens Z68696		1	1839	Z68696	UTEX 979		Leptosira erumpens							
Xylochloris sp SAG 2382 JQ988942		1	1839	JQ988942	SAG 2382		Xylochloris sp. SAG 2382				Germany			
Xylochloris irregularis EU105208		1	1839	EU105208	CAUP H 7802		Xylochloris irregularis							
Xylochloris irregularis EU105209		1	1839	EU105209	CAUP H 7801		Xylochloris irregularis							
uncultured Xylochloris JQ988940		1	1839	JQ988940			uncultured Xylochloris				Germany			
uncultured Xylochloris JQ988938		1	1839	JQ988938			uncultured Xylochloris				Germany			
Asterochloris phycobiontica GU017647		1	1839	GU017647	SAG 26.81	1976	Asterochloris phycobiontica	E. Tschermak-Woess			Italy	Trento	Madonna di Campigilo	
Asterochloris erici AB080310		1	1839	AB080310	IAM C-593		Asterochloris erici							
Trebouxia jamesii Z68700		1	1839	Z68700	UBT-86.132E2		Trebouxia jamesii							
Trebouxia arboricola Z68705		1	1839	Z68705	SAG 219-1a		Trebouxia arboricola							
Choricystis sp X81965		1	1839	X81965	SAG 251-2		Choricystis sp. SAG 251-2							
Choricystis minor X89012		1	1839	X89012	SAG 251-1		Choricystis parasitica							
Botryococcus braunii AJ581912		1	1839	AJ581912	Titicaca		Botryococcus braunii				Bolivia			
Botryococcus braunii GU951518		1	1839	GU951518	AGB-Bb01		Botryococcus braunii				United Kingdom	Cambridge	Madingley	
Botryococcus sp AY197640		1	1839	AY197640	Tow 9/21 P-16w		Botryococcus sp. Tow 9/21 P-16w							
Pseudococcomyxa simplex FJ648514		1	1839	FJ648514	UTEX 274		Pseudococcomyxa simplex							
Coccomyxa solorinae saccatae AM167525		1	1839	AM167525	CCALA 306 = Takacova 1983/2		Coccomyxa solorinae-saccatae							
Elliptochloris bilobata AM422984		1	1839	AM422984	SAG 245.80		Elliptochloris bilobata							
Elliptochloris subsphaerica FJ648518		1	1839	FJ648518	SAG 2202		Elliptochloris subsphaerica							
Elliptochloris bilobata var corticola EF688289		1	1839	EF688289	CAUP H7103		Elliptochloris bilobata var. corticola							
Chlorella minutissima X56102		1	1839	X56102	C-1.1.9		Chlorella minutissima							
Nannochloris sp AY195983		1	1839	AY195983	JL 4-6		Nannochloris sp. JL 4-6							
Picochlorum oklahomense AY422073		1	1839	AY422073	980625-4A		Picochlorum oklahomense							
Micractinium pusillum AF499921		1	1839	AF499921	SAG 7.93		Micractinium pusillum							
Auxenochlorella protothecoides var acidicola AJ439399		1	1839	AJ439399	124		Auxenochlorella protothecoides var. acidicola							
Chlorella sorokiniana X73993		1	1839	X73993	SAG 211-40a		Chlorella sorokiniana							
Dicloster acuatus AB037085		1	1839	AB037085	SAG 41.98	SAG 41.98	Dicloster acuatus							
Closteriopsis acicularis Y17470		1	1839	Y17470	SAG 11.86		Closteriopsis acicularis							
Parachlorella kessleri X56105		1	1839	X56105	SAG 211-11g		Parachlorella kessleri							
Chlorella mirabilis X74000		1	1839	X74000	Andreyeva 748-I		'Chlorella' mirabilis							
Gloeocystis polydermatica FR865740		1	1839	FR865740		CCAP 31/5	Gloeocystis polydermatica				United Kingdom	Cumbria	Windermere	
Stichococcus mirabilis AJ311638		1	1839	AJ311638	CCAP 379/3		Stichococcus mirabilis							
Stichococcus jenerensis DQ275461		1	1839	DQ275461	D 4		Stichococcus jenerensis							
Diplosphaera chodatii AB055867		1	1839	AB055867	UTEX1177		Diplosphaera chodatii							
Stichococcus bacillaris AJ416107		1	1839	AJ416107	SAG 397-1b		Stichococcus bacillaris				Switzerland	Basel		
Diplosphaera sp J4028B JN573864		1	1839	JN573864			Diplosphaera sp. J4028B							
Desmococcus endolithicus EU434026		1	1839	EU434026	SAG 25.92	1987	Desmococcus endolithicus	P. A. Broady and M. Ingerfeld			Antarctica			
Prototheca wickerhamii X56099		1	1839	X56099	Pore 1283		Prototheca wickerhamii							
Auxenochlorella protothecoides X56101		1	1839	X56101	211-7a		Auxenochlorella protothecoides							
Radiofilum conjunctivum AF387155		1	1839	AF387155	GR-2		Radiofilum conjunctivum							
Elliptochloris subsphaerica AB006050		1	1839	AB006050	CCAP 264-3		Elliptochloris subsphaerica							
Koliella sempervirens AF278743		1	1839	AF278743			Koliella sempervirens							
Geminella minor AF387151		1	1839	AF387151	GR-36		Geminella minor							
Ooplanctella planoconvexa FM881777		1	1839	FM881777	CAUP H5502	1975	Ooplanctella planoconvexa	F. Hindak			Slovakia	Bratislava	Morava river	
Trebouxiophyceae sp SC2 2 FJ946881		1	1839	FJ946881	SC2-2		Trebouxiophyceae sp. SC2-2		-70.767	11.752	Antarctica	Schirmacher Oasis		
uncultured Trebouxiophyceae FJ790649		1	1839	FJ790649			uncultured Trebouxiophyceae							
uncultured Trebouxiophyceae FJ790655		1	1839	FJ790655			uncultured Trebouxiophyceae							
Neocystis mucosa JQ920365		1	1839	JQ920365	KR 1989/14		Neocystis mucosa							
Neocystis brevis HQ287929		1	1839	HQ287929	CAUPD802		Neocystis brevis							
Planctonema sp M110 1 AF387148		1	1839	AF387148	M110-1		Planctonema sp. M110-1							
Coenocystis inconstans AB017435		1	1839	AB017435			Coenocystis inconstans							
Chlamydomonas bilatus AF517098		1	1839	AF517098	SAG7.72		Chlamydomonas bilatus							
Chloromonas rosae AF517090		1	1839	AF517090	SAG26.90		Chloromonas rosae							
Pleurastrum insigne Z28972		1	1839	Z28972	strain=SAG 30.93		Pleurastrum insigne							
